regiao,tx_rendimento,etapa,att,std_error  ,t_value,Pr(>|t|) ,low,high,significancia,,,,,,,,
Norte,aprov,ai,"1,0041","0,7526","1,3343","0,1821","-0,4709","2,4792",0,,,,,,,,
Norte,aprov,af,"0,4810","0,7048","0,6825","0,4949","-0,9004","1,8624",0,,,AC,Norte,164.173.429,,,
Norte,aprov,em,"1,2703","0,8391","1,5139","0,1301","-0,3743","2,9149",0,,,1,13,Amazonas,AM,Norte,1.559.255.881
Norte,reprov,ai,"-0,6751","0,5758","-1,1725","0,2410","-1,8037","0,4535",0,,,2,15,Pará,PA,Norte,1.245.870.704
Norte,reprov,af,"-0,4001","0,5704","-0,7015","0,4830","-1,5180","0,7178",0,,,3,16,Amapá,AP,Norte,142.470.762
Norte,reprov,em,"-0,9209","0,6133","-1,5015","0,1332","-2,1229","0,2812",0,,,4,17,Tocantins,TO,Norte,277.423.627
Norte,aband,ai,"-0,3290","0,3247","-1,0134","0,3109","-0,9653","0,3073",0,,,5,21,Maranhão,MA,Nordeste,329.651.496
Norte,aband,af,"-0,0809","0,3237","-0,2500","0,8026","-0,7153","0,5535",0,,,6,22,Piauí,PI,Nordeste,251.755.481
Norte,aband,em,"-0,3494","0,6007","-0,5817","0,5608","-1,5268","0,8279",0,,,7,23,Ceará,CE,Nordeste,148.894.447
Nordeste,aprov,ai,"0,4760","0,3321","1,4334","0,1517","-0,1749","1,1269",0,,,8,24,Rio Grande do Norte,RN,Nordeste,52.809.599
Nordeste,aprov,af,"2,0606","0,4309","4,7823","0,0000","1,2161","2,9051",1,,,9,25,Paraíba,PB,Nordeste,56.467.242
Nordeste,aprov,em,"1,8968","0,5172","3,6673","0,0002","0,8831","2,9105",1,,,10,26,Pernambuco,PE,Nordeste,98.067.877
Nordeste,reprov,ai,"-0,4100","0,2559","-1,6024","0,1091","-0,9115","0,0915",0,,,11,27,Alagoas,AL,Nordeste,27.830.661
Nordeste,reprov,af,"-1,4998","0,3522","-4,2585","0,0000","-2,1901","-0,8095",1,,,12,28,Sergipe,SE,Nordeste,21.938.188
Nordeste,reprov,em,"-0,2450","0,3839","-0,6381","0,5234","-0,9974","0,5075",0,,,13,29,Bahia,BA,Nordeste,564.760.429
Nordeste,aband,ai,"-0,0660","0,1550","-0,4260","0,6701","-0,3698","0,2378",0,,,14,31,Minas Gerais,MG,Sudeste,586.513.983
Nordeste,aband,af,"-0,5608","0,2242","-2,5016","0,0124","-1,0001","-0,1214",1,,,15,32,Espírito Santo,ES,Sudeste,46.074.448
Nordeste,aband,em,"-1,6518","0,3786","-4,3625","0,0000","-2,3939","-0,9097",1,,,16,33,Rio de Janeiro,RJ,Sudeste,43.750.425
Sul,aprov,ai,"0,0837","0,2877","0,2911","0,7710","-0,4802","0,6477",0,,,17,35,São Paulo,SP,Sudeste,248.219.485
Sul,aprov,af,"0,0900","0,3770","0,2387","0,8113","-0,6489","0,8289",0,,,18,41,Paraná,PR,Sul,199.298.981
Sul,aprov,em,"1,5937","0,5984","2,6634","0,0077","0,4209","2,7666",1,,,19,42,Santa Catarina,SC,Sul,95.730.690
Sul,reprov,ai,"-0,0061","0,2666","-0,0229","0,9817","-0,5286","0,5163",0,,,20,43,Rio Grande do Sul,RS,Sul,281.707.151
Sul,reprov,af,"0,1334","0,3479","0,3833","0,7015","-0,5485","0,8153",0,,,21,50,Mato Grosso do Sul,MS,Centro-oeste,357.142.082
Sul,reprov,em,"-0,3573","0,5127","-0,6969","0,4859","-1,3622","0,6476",0,,,22,51,Mato Grosso,MT,Centro-oeste,903.208.361
Sul,aband,ai,"-0,0776","0,0772","-1,0051","0,3149","-0,2290","0,0738",0,,,23,52,Goiás,GO,Centro-oeste,340.242.859
Sul,aband,af,"-0,2234","0,1168","-1,9120","0,0559","-0,4523","0,0056",0,,,24,53,Distrito Federal,DF,Centro-oeste,5.760.784
Sul,aband,em,"-1,2365","0,3504","-3,5290","0,0004","-1,9232","-0,5497",1,,,25,11,Rondônia,RO,Norte,237.754.172
Sudeste,aprov,ai,"0,4107","0,2306","1,7815","0,0748","-0,0412","0,8626",0,,,26,14,Roraima,RR,Norte,223.644.530
Sudeste,aprov,af,"0,1374","0,2613","0,5259","0,5989","-0,3747","0,6495",0,,,,,,,,
Sudeste,aprov,em,"0,3069","0,3335","0,9204","0,3574","-0,3467","0,9606",0,,,,,,,,
Sudeste,reprov,ai,"-0,2671","0,1979","-1,3498","0,1771","-0,6549","0,1207",0,,,,,,,,
Sudeste,reprov,af,"0,0282","0,2310","0,1221","0,9028","-0,4245","0,4809",0,,,,,,,,
Sudeste,reprov,em,"-0,2822","0,2597","-1,0867","0,2772","-0,7911","0,2268",0,,,,,,,,
Sudeste,aband,ai,"-0,1437","0,0903","-1,5906","0,1117","-0,3207","0,0334",0,,,,,,,,
Sudeste,aband,af,"-0,1656","0,0924","-1,7931","0,0729","-0,3466","0,0154",0,,,,,,,,
Sudeste,aband,em,"-0,0248","0,1887","-0,1312","0,8956","-0,3947","0,3452",0,,,,,,,,
Centro Oeste,aprov,ai,"-0,3908","0,5788","-0,6751","0,4996","-1,5253","0,7437",0,,,,,,,,
Centro Oeste,aprov,af,"0,7182","0,5473","1,3122","0,1895","-0,3546","1,7909",0,,,,,,,,
Centro Oeste,aprov,em,"1,4826","0,9544","1,5534","0,1203","-0,3880","3,3532",0,,,,,,,,
Centro Oeste,reprov,ai,"0,2712","0,4583","0,5918","0,5540","-0,6270","1,1694",0,,,,,,,,
Centro Oeste,reprov,af,"-0,3163","0,4727","-0,6692","0,5034","-1,2429","0,6102",0,,,,,,,,
Centro Oeste,reprov,em,"-0,2754","0,7006","-0,3930","0,6943","-1,6486","1,0979",0,,,,,,,,
Centro Oeste,aband,ai,"0,1196","0,2232","0,5359","0,5920","-0,3179","0,5571",0,,,,,,,,
Centro Oeste,aband,af,"-0,4018","0,2089","-1,9232","0,0545","-0,8114","0,0077",0,,,,,,,,
Centro Oeste,aband,em,"-1,2072","0,6319","-1,9104","0,0561","-2,4458","0,0313",0,,,,,,,,